source_site,brand,model,year,vehicle_age,mileage_km,log_mileage,transmission,fuel_type,engine_cc,location,price_lkr,log_price
ikman,Suzuki,Every,2025.0,1.0,200.0,5.303304908059076,Other,Other,6600.0,"Dehiwala, Colombo",78000000,18.17221939747438
ikman,Toyota,Liteace,1990.0,36.0,2842900.0,14.860335567656088,Other,Other,19700.0,"Kaduwela, Colombo",31500000,17.265498135541893
ikman,Nissan,Sunny,1983.0,43.0,1988000.0,14.502640169216638,Manual,Petrol,13000.0,"Mawathagama, Kurunegala",11500000,16.257857680289998
ikman,Hyundai,Venue,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Negombo, Gampaha",135250000,18.72263548308458
ikman,Nissan,Sunny,1983.0,43.0,3162000.0,14.96671561300704,Manual,Petrol,15000.0,Kurunegala City,7800000,15.86963441986494
ikman,Kia,Sonet,2026.0,0.0,200.0,5.303304908059076,Automatic,Petrol,10000.0,"Dehiwala, Colombo",113750000,18.54951362458654
ikman,Daihatsu,Rocky,2025.0,1.0,50000.0,10.819798284210286,Automatic,Hybrid,12000.0,"Colombo 3, Colombo",133000000,18.705859693704824
ikman,Suzuki,Fronx,2026.0,0.0,0.0,0.0,Automatic,Hybrid,10000.0,"Boralesgamuwa, Colombo",115500000,18.56478109658413
ikman,Daihatsu,Mira,2025.0,1.0,35000.0,10.463131911491967,Automatic,Petrol,6500.0,"Boralesgamuwa, Colombo",71900000,18.09078683659948
ikman,Toyota,Other,2026.0,0.0,75000.0,11.225256725762893,Automatic,Petrol,9980.0,"Chavakachcheri, Jaffna",86000000,18.26985786584569
ikman,Nissan,Other,1993.0,33.0,1998700.0,14.508008027507719,Other,Other,20000.0,,24950000,17.03238442024196
ikman,Micro,Panda,2012.0,14.0,669500.0,13.414287937764227,Manual,Petrol,13000.0,"Piliyandala, Colombo",27500000,17.129696599000436
ikman,Mitsubishi,Outlander,2015.0,11.0,1640000.0,14.310207409556293,Automatic,Hybrid,20000.0,"Piliyandala, Colombo",118000000,18.586195190904515
ikman,Nissan,Vanette,1982.0,44.0,1600000.0,14.285514812209815,Other,Other,19500.0,"Dankotuwa, Puttalam",18000000,16.705882371415992
ikman,Nissan,Vanette,1984.0,42.0,1200000.0,13.997832948091215,Other,Other,19850.0,"Kurunegala City, Kurunegala",17500000,16.677711496036597
ikman,Toyota,Dolphin,1995.0,31.0,1600000.0,14.285514812209815,Other,Other,20000.0,"Kandy City, Kandy",112000000,18.53400943818794
ikman,Audi,Other,2018.0,8.0,480000.0,13.081543466215237,Automatic,Petrol,10000.0,Battaramulla,136900000,18.734761297563278
ikman,Kia,Sonet,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Kohuwala, Colombo",124900000,18.64302398310221
ikman,Toyota,Chr,2018.0,8.0,890000.0,13.698977865303197,Automatic,Petrol,12000.0,"Galle City, Galle",139500000,18.753575166394153
ikman,Suzuki,Every,2013.0,13.0,1700000.0,14.346139397261565,Automatic,Petrol,6580.0,"Kuruwita, Ratnapura",59000000,17.893048018819147
ikman,Nissan,Other,1994.0,32.0,1350000.0,14.115615891155079,Other,Other,19700.0,"Panadura, Kalutara",26250000,17.083176585097146
ikman,Honda,Fit,2017.0,9.0,791000.0,13.581054510971494,Automatic,Petrol,15000.0,Pannipitiya,96500000,18.385053576671908
ikman,Volkswagen,Other,2023.0,3.0,150000.0,11.918397239722838,Automatic,Petrol,10000.0,"Dehiwala, Colombo",114900000,18.559572751522204
ikman,Toyota,Roomy,2024.0,2.0,350000.0,12.765691290604371,Automatic,Petrol,9960.0,"Kesbewa, Colombo",89900000,18.31420851056532
ikman,Nissan,Almera,2025.0,1.0,0.0,0.0,Automatic,Petrol,10000.0,"Kohuwala, Colombo",136500000,18.731835179915297
ikman,Suzuki,Every,2017.0,9.0,1450000.0,14.187074804051692,Other,Other,6600.0,"Gampola, Kandy",36900000,17.423722136111028
ikman,Daihatsu,Mira,2025.0,1.0,17800.0,9.787009914477434,Automatic,Petrol,6500.0,"Nittambuwa, Gampaha",73500000,18.112795977788508
ikman,Daihatsu,Other,2022.0,4.0,146060.0,11.891779621652102,Automatic,Petrol,6600.0,"Malabe, Colombo",83500000,18.24035720179713
